ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2018-01-01,27.58110985280271,26.07907543883285,32.516820403179935,27.58110985280271,27.58110985280271,1.6973006465575182,1.6973006465575182,1.6973006465575182,-0.20046314737371473,-0.20046314737371473,-0.20046314737371473,1.8977637939312328,1.8977637939312328,1.8977637939312328,0.0,0.0,0.0,29.27841049936023
2018-01-02,27.662208579310985,26.21332855207904,32.478204561660334,27.662208579310985,27.662208579310985,1.6232378492009694,1.6232378492009694,1.6232378492009694,-0.12318344407143594,-0.12318344407143594,-0.12318344407143594,1.7464212932724055,1.7464212932724055,1.7464212932724055,0.0,0.0,0.0,29.285446428511953
2018-01-03,27.74330730581926,26.122908853613126,32.79184969071875,27.74330730581926,27.74330730581926,1.6126803942413617,1.6126803942413617,1.6126803942413617,0.010895444000879313,0.010895444000879313,0.010895444000879313,1.6017849502404826,1.6017849502404826,1.6017849502404826,0.0,0.0,0.0,29.355987700060624
2018-01-04,27.824406032327534,25.994934318311767,32.812441829976194,27.824406032327534,27.824406032327534,1.6365431849634517,1.6365431849634517,1.6365431849634517,0.17181925826125793,0.17181925826125793,0.17181925826125793,1.464723926702194,1.464723926702194,1.464723926702194,0.0,0.0,0.0,29.460949217290985
2018-01-05,27.905504758835807,25.875500884881305,32.44589961843665,27.905504758835807,27.905504758835807,1.4968666152304262,1.4968666152304262,1.4968666152304262,0.16094493199406776,0.16094493199406776,0.16094493199406776,1.3359216832363585,1.3359216832363585,1.3359216832363585,0.0,0.0,0.0,29.402371374066234
2018-01-06,27.986603485344084,25.7557519148872,32.44838121990354,27.986603485344084,27.986603485344084,1.1483997401194599,1.1483997401194599,1.1483997401194599,-0.0674672541613242,-0.0674672541613242,-0.0674672541613242,1.215866994280784,1.215866994280784,1.215866994280784,0.0,0.0,0.0,29.135003225463542
2018-01-07,28.067702211852357,25.984987044966033,32.513185333412885,28.067702211852357,28.067702211852357,1.1523039117345772,1.1523039117345772,1.1523039117345772,0.04745421134983906,0.04745421134983906,0.04745421134983906,1.1048497003847384,1.1048497003847384,1.1048497003847384,0.0,0.0,0.0,29.220006123586934
2018-01-08,28.148800938360633,25.513918681194387,32.1520544669274,28.148800938360633,28.148800938360633,0.8024981140957141,0.8024981140957141,0.8024981140957141,-0.20046314737324095,-0.20046314737324095,-0.20046314737324095,1.0029612614689551,1.0029612614689551,1.0029612614689551,0.0,0.0,0.0,28.95129905245635
2018-01-09,28.229899664868906,25.531186503800974,32.48435095433565,28.229899664868906,28.229899664868906,0.7869166090267848,0.7869166090267848,0.7869166090267848,-0.12318344407147591,-0.12318344407147591,-0.12318344407147591,0.9101000530982606,0.9101000530982606,0.9101000530982606,0.0,0.0,0.0,29.016816273895692
2018-01-10,28.31099839137718,25.87549473052825,32.35057865765429,28.31099839137718,28.31099839137718,0.836876671424911,0.836876671424911,0.836876671424911,0.010895444001189379,0.010895444001189379,0.010895444001189379,0.8259812274237215,0.8259812274237215,0.8259812274237215,0.0,0.0,0.0,29.14787506280209
